Which Year of Study are you currently in?,Which Faculty are you from? (Indicate your home faculty if you are in a double degree programme.),"Did you enter campus during semester 1,AY20/21 (for any purpose like studying,visiting etc.)?","During my time on campus,the COVID-19 measures put in place by NUS were easy to follow.","During my time on campus,the COVID-19 measures put in place by NUS were sufficient in ensuring the safety of our health.",The uNivUS phone application is user-friendly and easy to use.,I feel that the zoning restrictions were ________.,The Zoning Restriction was effective in minimising overcrowding and intermingling.,I feel at disadvantage due to the Zoning Restrictions.,"If you agree with the previous question,please share why.",I wear my mask whenever I am on the NUS campus.,I wear my mask whenever I am in NUS residences.,I ensured that the people around me wore their masks at all times.,I ensured that I follow the 1-metre social distancing rule whenever I am in NUS.,What other measures should be implemented by NUS to ensure the safety of our health?,I prefer online classes to physical classes.,I was able to learn as effectively online as in physical classes (answer only if you are in year 2 or higher).,"If you agreed in the previous question,what are the reasons? - Time-saving (e.g. on transport)","If you agreed in the previous question,what are the reasons? - Better learning experience","If you agreed in the previous question,what are the reasons? - Flexible schedule","If you agreed in the previous question,what are the reasons? - Others","If you chose others,please state your reason:",Which of your modules were good examples of online learning? Kindly state the module code.,What are some challenges that you encountered in online learning? - Lack of conducive learning environment at home,What are some challenges that you encountered in online learning? - Lack of study spaces,What are some challenges that you encountered in online learning? - Lack of access to academic resources (e.g. at NUS Libraries),What are some challenges that you encountered in online learning? - Others,"If you chose others,please state your reason:",What do you think could have been done better to support your online learning?,I prefer exams conducted in physical spaces to those conducted remotely (answer only if you are in year 2 or higher).,"If you disagreed in the previous question,what are the reasons?","Based on your observations,how prevalent is cheating and plagiarism in school?","Based on my knowledge,I know ____ incidences of academic dishonesty that has happened during online exams.","If you encountered sexual misconduct on campus,which organisation would you report the case to at your first thought?","If you chose others,please state:",I feel safe studying in NUS.,I feel safe living in NUS residences.,I feel safe approaching a teaching staff alone.,"If you disagreed in the previous question,what are the reasons?",I would feel safe reporting a case of sexual misconduct in NUS.,Do you feel that NUS has sufficiently handled the cases of sexual misconduct in the past semester?,"If you answered 'no’ in the previous question,what are the reasons?",Do you feel that NUS has been sufficiently transparent in its handling of cases of sexual misconduct in the past semester?,"If you answered 'no’ in the previous question,what are the reasons?",Have you read the NUS Code of Conduct for both Students and Staff?,"If you answered 'no’ in the previous question,please skip to the next question. Otherwise,are the principles and boundaries set in the NUS Code of Conduct for Students and/or Staff sufficient?The NUS Code of Conduct for Students and Staff can be found at  https://nus.edu.sg/osa/docs/default-source/osa-doc/resources-and-policies/code-of-student-conduct.pdf and https://www.nus.edu.sg/docs/default-source/corporate-files/about/code-of-conduct-nus-staff.pdf respectively for your reference.",I feel that the frequency of discussions in NUS about sexual misconduct are __.,In what other ways can NUS better tackle sexual misconduct?,"PDPA 2012 DeclarationBy indicating your consent to provide your personal data in this form,you agree that the National University of Singapore,through the National University of Singapore Students' Union is allowed to collect,process,and disclose your data for the purposes of:Receive updates for the purpose of collection of prizes from NUSSU PRU by email;Other reasonably related purposes.All personal information will be kept confidential and used for the purpose(s) stated only.",I consent to the statement above with regards to PDPA 2012,"A Final NoteThank you for your completing the NUSSU PRU Feedback Survey.Once again,if you have provided your Name,NUSNet ID and NUS Email,you will be eligible for a chance to win a $50 Amazon Gift Card or one of 5 $10 Amazon Gift Cards. We will use your responses you have provided to help us create and work on better policies for students and represent you better. If you have any queries or comments,do contact us at feedback@nussu.org.sg.Thank you and have a great day!"
2,School of Design & Environment,Yes,Slightly Disagree,Slightly Agree,Moderately Disagree,Difficult to understand. Caused inconvenience in navigation.,Slightly Disagree,Slightly Agree,Crowds are higher in the area since more are restricted in the same area.,Always,Always,Generally,Generally,"Hand sanitizers, more group demarcation of seats",Slightly Agree,Slightly Agree,Time-saving (e.g. on transport),,Flexible schedule,,,"ES2007D, GES1026",Lack of conducive learning environment at home,Lack of study spaces,Lack of access to academic resources (e.g. at NUS Libraries),Others,Lessons were packed too closely,Resources to be made available. Physical access granted when necessary. Lesson time to be adjusted.,Moderately Disagree,"The commute to exam venue, risk of transmission",Sometimes,1,Others,SafeNUS,Slightly Disagree,Slightly Disagree,Slightly Agree,,No,No,More needs to be done,No,"Lack of communication to students, investigation process",I have read both.,Sufficient for now,Too Little,,,TRUE,
3,Faculty of Science,Yes,Slightly Agree,Slightly Agree,Slightly Agree,"adequate, sometimes overbearing.",Slightly Agree,Moderately Disagree,,Always,Not Applicable ,Generally,Generally,Conversion of in-face classes to online. e.g even class size under 30 should be conducted online if possible.,Moderately Agree,Slightly Agree,Time-saving (e.g. on transport),Better learning experience,Flexible schedule,,,"GET1014, PR2122, GES1035, COS2000, LSM2241",Lack of conducive learning environment at home,Lack of study spaces,Lack of access to academic resources (e.g. at NUS Libraries),,,Better organization and adaptation of modules for online learning.,Moderately Disagree,What's the point of risking transmission in physical spaces if it's possible to do online.,Sometimes,0,Office of Campus Security,,Slightly Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,Yes.,Sufficient,Stronger punishment. I feel there are still cases where perpetrators get away with lighter sentences than expected.,,TRUE,
1,Faculty of Arts & Social Sciences,No,,,,,,,,,,,,,Moderately Agree,Not Applicable  ,,,,,,,Lack of conducive learning environment at home,Lack of study spaces,Lack of access to academic resources (e.g. at NUS Libraries),,,More guidance and help to students for midterms and finals preparations.,Not Applicable  ,,Generally,a few,Others,Confide in a partner,Moderately Agree,Not Applicable,Slightly Agree,,Yes,No,They have not been detailed enough on each case and seem to brush each case off by simply summarising events rather than stating the full nature of events.,No,They have not been detailed enough on each case and seem to brush each case off by simply summarising events rather than stating the full nature of events.,I have not read any Code of Conduct. ,,Too Little,,,TRUE,
1,Faculty of Engineering,Yes,Slightly Disagree,Moderately Disagree,Strongly Disagree,ineffective and inconvenient,Moderately Disagree,Moderately Agree,"Deprived the ability to attend activitiesModules that should have f2f components are also forced online, which severely harms the learning process.",Always,Generally,Sometimes,Generally,N/A,Strongly Disagree,Not Applicable  ,,,,,,None,,Lack of study spaces,Lack of access to academic resources (e.g. at NUS Libraries),,,More study spaces,Not Applicable  ,,Sometimes,2,Police,,Strongly Agree,Strongly Agree,Strongly Agree,,No,Yes,,Yes,,I have not read any Code of Conduct. ,,Sufficient,,,TRUE,
1,School of Design & Environment,No,,,,,,,,,,,,,Moderately Disagree,Not Applicable  ,,,,,,,Lack of conducive learning environment at home,Lack of study spaces,,Others,Less social interaction/chances of clarification with peers,Teach Professors to conduct online lectures more professionally - Video and Audio quality is key to online teaching.,Not Applicable  ,,Seldom,0,"Office of Safety, Health & Environment (OSHE)",,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,Yes,Sufficient,Work with parents /co-ed with parents.Keep the conversation going. Something happens when things plateau.,,TRUE,
4+,Faculty of Science,Yes,Moderately Agree,Moderately Agree,Moderately Agree,Not necessary as there would inherently be mingling and overcrowding outside of NUS,Slightly Disagree,Moderately Agree,I was unable to return to school to perform my internship at a full-time duration.,Always,Not Applicable ,Generally,Generally,,Slightly Disagree,Slightly Disagree,Time-saving (e.g. on transport),,,,,,Lack of conducive learning environment at home,,Lack of access to academic resources (e.g. at NUS Libraries),,,Clearer communication on lesson modes.,Slightly Agree,,Seldom,few,Office of Campus Security,,Strongly Agree,Not Applicable,Strongly Agree,,Yes,Yes,,Yes,,I only read that for students.,,Sufficient,,,TRUE,
4+,Faculty of Engineering,Yes,Slightly Disagree,Slightly Disagree,Slightly Agree,Ok,Slightly Disagree,Strongly Agree,"Outsiders were not subject to it. Due to this zoning, I also had to postpone the progress of my fyp.",Always,Not Applicable ,Always,Always,,Slightly Agree,Slightly Agree,Time-saving (e.g. on transport),Better learning experience,Flexible schedule,,,,Lack of conducive learning environment at home,,,,,More open book tests.,Slightly Agree,,Sometimes,0,Office of Campus Security,,Slightly Agree,Not Applicable,Slightly Agree,,Yes,Yes,,Yes,,I only read that for students.,,Sufficient,,,TRUE,
3,School of Design & Environment,Yes,Moderately Agree,Moderately Agree,Moderately Agree,inconvenient,Moderately Agree,Moderately Agree,"had trouble trying to buy textbook, didn't have time to travel all the way to utown and when I did, its only on days when I'm not allowed to go aka no green pass",Generally,Not Applicable ,Seldom,Seldom,,Moderately Agree,Slightly Disagree,,,,,,,Lack of conducive learning environment at home,,,,,"resources can be more organised on luminus, easier to follow lesson plans and such",Slightly Disagree,"less stressed online, dont have to worry about being late, don't have to follow a lot of procedures like matric card, calculators etc",Sometimes,a few,Office of Campus Security,,Moderately Agree,Not Applicable,Strongly Agree,,No,Yes,,Yes,,I have not read any Code of Conduct. ,,Sufficient,"harsher punishments for offenders, more info placed around the school so victims can easily and immediately seek help",,TRUE,
4+,NUS Business School,Yes,Slightly Agree,Slightly Agree,Slightly Agree,good as it helps to reduce intermingling.,Slightly Disagree,Slightly Disagree,-,Always,Not Applicable ,Generally,Generally,-,Slightly Agree,Slightly Agree,Time-saving (e.g. on transport),,,,-,"I won't say there is any that were good examples, but in general the better classes are those where the professors engaged the students proactively and allow for class participation.",,,,Others,Poor wifi connection,Study venues in school for students to do online learning.,Slightly Disagree,"Sometimes in the examination hall, there are distractions like noise. There was an exam I took where a phone rang in the middle of the exam",Generally,0,NUS Staff,-,Moderately Agree,Not Applicable,Slightly Agree,-,Yes,Yes,-,Yes,-,I have not read any Code of Conduct. ,-,Too Little,Increase awareness of what sexual misconduct encompasses,,TRUE,
2,Faculty of Engineering,Yes,Moderately Agree,Strongly Agree,Slightly Disagree,necessary,Strongly Agree,Slightly Agree,"I think for anyone's in a music or performing arts group, you can definitely experience the difficulty of zoning against your CCA",Always,Always,Always,Always,,Strongly Disagree,Slightly Disagree,,,,,I think I am a person that requires f2f interaction to be able to learn more effectively,,Lack of conducive learning environment at home,Lack of study spaces,,,,I think definitely moderating the amount of work given to students eventhough it is easier to disseminate the qns and tasks without the need for a lecture or tutorial,Slightly Agree,,Sometimes,0,Others,VCU,Moderately Agree,Moderately Agree,Moderately Agree,,Yes,Yes,,Yes,,I have not read any Code of Conduct. ,,Sufficient,,,TRUE,
3,Faculty of Engineering,Yes,Slightly Disagree,Moderately Agree,Moderately Agree,"stupid. there are too many examples rendering zoning useless. for e.g. if there are siblings in 2 different courses in nus, they can't go back home together? meanwhile in ntu, zoning is non-existent, yet they are doing very well even with the one scare case.",Slightly Disagree,Slightly Agree,"with zoning, i can't access the computer labs in FOE anytime i wish to. i then have to plan to do my work only on days i can go over to FOE",Generally,Generally,Sometimes,Generally,,Moderately Agree,Moderately Agree,,,Flexible schedule,,,"modules heavy on content. i am able to rewatch the professors explain multiple times. i can scroll back to listen more carefully, especially those with heavy accent.",Lack of conducive learning environment at home,,,,,"professors should be aided in publishing online content. sometimes, they don't know and there is little help (at least, that's what i feel). non-standardised forms of video playback also, but that's just being nitty picky",Slightly Disagree,so much time is wasted in collecting papers,Always,1,Others,hall RFs,Strongly Agree,Moderately Agree,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,i read but i dont remember,Too Little,"allow for more conversations in nus. include the students, student unions, leaders in nus organisations (CCAs), etc. there are people that are more than willing to share their piece. don't do it just to appease the public",,TRUE,
4+,Faculty of Science,Yes,Slightly Agree,Strongly Agree,Moderately Disagree,difficult to enforce,Moderately Disagree,Slightly Agree,"Makes access to resources more difficult (eg. libraries, places to study)",Always,Not Applicable ,Generally,Sometimes,,Slightly Agree,Moderately Agree,Time-saving (e.g. on transport),,Flexible schedule,,,LAG3202,,Lack of study spaces,,Others,Technical difficulties,All classes should be recorded and available for rewatch,Moderately Agree,,Sometimes,few,Others,Social media LOL,Strongly Agree,Not Applicable,Moderately Agree,,No,No,"Transparency, ostensible lack of justice",No,"No communication of process, press is informed before student body, adjudication criteria not made clear",I have not read any Code of Conduct. ,,Sufficient,,,TRUE,
1,School of Computing,Yes,Strongly Agree,Moderately Agree,Moderately Agree,confusing,Moderately Agree,Slightly Disagree,,Always,Always,Always,Always,,Strongly Agree,Not Applicable  ,,,,,,"UQF2101J, GER1000",Lack of conducive learning environment at home,,Lack of access to academic resources (e.g. at NUS Libraries),,,More flexible deadlines to account for technical issues.,Not Applicable  ,,Generally,5,Office of Campus Security,,Slightly Agree,Slightly Agree,Slightly Agree,,Yes,No,"Punishment still too light, response from faculty very slow and only after the incident was broadcast by the media.",No,"Slow response, unwilling to take feedback from students.",I only read that for students.,,Too Little,,,TRUE,
1,NUS Business School,Yes,Moderately Agree,Slightly Agree,Moderately Agree,Ineffective,Moderately Agree,Slightly Agree,My food option was limited.,Always,Not Applicable ,Always,Generally,,Slightly Agree,Not Applicable  ,,,,,,,Lack of conducive learning environment at home,Lack of study spaces,Lack of access to academic resources (e.g. at NUS Libraries),,,More online lessons for consultations,Not Applicable  ,,Seldom,0,Police,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,,Too Little,,,TRUE,
2,Faculty of Arts & Social Sciences,Yes,Moderately Disagree,Slightly Agree,Strongly Disagree,overboard,Strongly Disagree,Slightly Agree,-,Always,Always,Generally,Always,nil,Moderately Agree,Slightly Agree,Time-saving (e.g. on transport),,Flexible schedule,,,ps2238,,Lack of study spaces,,,,less large assignments due in the same time,Not Applicable  ,,Sometimes,2,Police,,Moderately Agree,Slightly Agree,Moderately Agree,,Yes,No,faster processes,No,it has gotten better but can be more transparent,I only read that for students.,,Too Little,open admission of crime,,TRUE,
3,Faculty of Science,Yes,Moderately Agree,Slightly Agree,Slightly Agree,necessary,Moderately Agree,Strongly Disagree,nil,Always,Not Applicable ,Always,Always,nil,Strongly Agree,Not Applicable  ,Time-saving (e.g. on transport),Better learning experience,Flexible schedule,,nil,nil,,,,Others,no reason,nil,Strongly Disagree,I prefer online. Safe time,Seldom,one,Police,,Strongly Agree,Strongly Agree,Moderately Agree,nil,Yes,Yes,,Yes,,I have read both.,nil,Sufficient,nil,,TRUE,
3,Faculty of Arts & Social Sciences,No,,,,,,,,,,,,,Slightly Agree,Slightly Agree,Time-saving (e.g. on transport),,Flexible schedule,,,,Lack of conducive learning environment at home,Lack of study spaces,,,,welfare packages,Strongly Disagree,,Generally,1,Office of Campus Security,,Strongly Agree,Moderately Agree,Moderately Agree,,Yes,Yes,,Yes,,I have read both.,,Sufficient,,,TRUE,
2,Faculty of Arts & Social Sciences,Yes,Slightly Disagree,Slightly Agree,Slightly Agree,inconvenient,Moderately Disagree,Strongly Agree,Closed off access to areas purely based on the faculty i was in,Always,Not Applicable ,Generally,Generally,Maybe can add some hand sanitiser at various points,Slightly Agree,Slightly Agree,Time-saving (e.g. on transport),,,,,"PL2132 in AY20/21 Semester 1, really good professor who provided us with the access of materials and flexibility to rewatch lectures whenever we needed to",,,,Others,Connection issues and profs choosing not to record the lectures.,Make it compulsory for the lectures to be recorded and also provide students study spaces if they require them,Strongly Agree,,Sometimes,"I don't know what I'm supposed to fill this blank in with, but I feel that online exams which do not do proctoring make it very easy for people to collaborate on their exams, which I think isn't right.",NUS Staff,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,No,Need more transparency,No,I generally don't know the outcomes of these cases.,I only read that for students.,I'm not sure.,Sufficient,Mainly need to tackle the transparency and certainty of action issue,,TRUE,
2,NUS Business School,Yes,Slightly Disagree,Slightly Agree,Slightly Agree,unnecessary and restrictive,Strongly Disagree,Strongly Agree,Food options as well as crowd at food and study places (lack thereof),Always,Not Applicable ,Always,Always,,Moderately Disagree,Slightly Disagree,,,,,,,Lack of conducive learning environment at home,Lack of study spaces,,,,"More study areas in school to allow for students to attend remotely, as well as for more training to lecturers on teaching remotely",Slightly Disagree,Travel time incurred,Seldom,0,Police,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I have not read any Code of Conduct. ,,Sufficient,,,TRUE,
3,Faculty of Science,Yes,Moderately Agree,Slightly Agree,Slightly Agree,Redundant,Slightly Disagree,Moderately Agree,I was unable to take modules in other zones and that affected my module planning for the future semesters.,Always,Not Applicable ,Sometimes,Generally,Perhaps random temperature checks throughout the campus,Slightly Agree,Slightly Agree,Time-saving (e.g. on transport),,Flexible schedule,,,"LAG2201, CM3292",Lack of conducive learning environment at home,,,,,-,Slightly Agree,-,Always,3,Police,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,No,Early action could have been done for some cases and harsher punishments meted out to culprits such as expulsion from the school,No,Reports have surfaced about how victims felt that NUS did not render enough support to them,I have read both.,,Too Little,Harsher punishments for culprits and ample follow-up therapy sessions for victims,,TRUE,
1,Faculty of Science,No,,,,,,,,,,,,,Moderately Agree,Slightly Agree,Time-saving (e.g. on transport),,,,,"CM1111 tutorials. Prof Chong Yuan Yi made tutorial much more interactive than typical tutorials through the use of polleverywhere, online sharing sites (for students to share their answers to tutorial questions), and even curated a spotify list. He also collates queries students had through luminus and answer them during tutorials, and this helped to clear many of our doubts.",Lack of conducive learning environment at home,Lack of study spaces,,,,NIL,Strongly Agree,,Generally,"Despite being a year 1, I answered the question as I recently had a physical mid term exam and could make comparisons between these 2 modes of examination. As far as I have heard, there is rampant cheating via online exams, I have even received an email by a stranger in the module to cheat with him collaboratively to which ignored (He saw my name on the zoom lectures and searched for my email address on outlook with my name). Rampant cheating not only only penalises honest students but also degrades the value of our degree. As such the school could consider either employing full CA assignments which involves more critical thinking questions or have strict proctoring/face 2 face exams conducted at several venues in school.",Office of Campus Security,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,,Too Little,Conduct more discussions with the student body/ easier access to help (could have a reporting function on univus),,TRUE,
